,name,show_name,link,about,genre,age,cinema,time
0,eretikas(heretic),Eretikas (Heretic),https://multikino.lt/filmai/eretikas-heretic,"Iš pažiūros nekalti pono Rido (vaidina Hugh Grant) namai slepia intelektualius, tačiau mirtinus spąstus, į kuriuos pakliūva dvi jaunos misionierės.","Siaubo,Trileris",N-16,multikino,21:45
1,gladiatorius2(gladiatorii),Gladiatorius 2 (Gladiator II),https://multikino.lt/filmai/gladiatorius-2-gladiator-ii,"Dėl valdžios. Dėl sukilimo. Dėl keršto. Viena istorija baigiasi. Ir prasideda kita. Liucijus (akt. Paul Mescal), buvusio Romos imperatoriaus Marko Aurelijaus anūkas ir Liucilos (akt. Connie Nielsen) sūnus, gyvena ramų gyvenimą kol jo nesujaukia Romos kareiviai, vadovaujami generolo Akacijaus (akt. Pedro Pascal), pagrobdami ir parduodami Liucijų į vergiją.","Drama,Nuotykių,Veiksmo",N-16,multikino,"18:30, 20:45"
2,medžiotojaskreivenas(kravenhunter),Medžiotojas Kreivenas (Kraven the Hunter),https://multikino.lt/filmai/medziotojas-kreivenas-kraven-the-hunter,"Dar būdamas paauglys, Sergejus Kravinofas (aktorius Aaronas Tayloras-Johnsonas) iš savo tėvo Nikolajaus (akt. Russellas Crowe) išmoko svarbią pamoką: niekuomet niekam neparodyti savo silpnumo.  Vienos medžioklės metu, likęs akis į akį su liūtu, vaikinas nesugebėjo laiku nuspausti gaiduko ir liūtas jį užpuolė. Užuot gelbėjęs, principams ištikimas tėvas paliko sūnų mirti. Tik Sergejus nemirė.","Nuotykių,Veiksmo,Mokslinė fantastika",N-16,multikino,21:30
3,mufasaliūtaskaralius(mufasalionking),Mufasa. Liūtas karalius (Mufasa: The Lion King),https://multikino.lt/filmai/mufasa-liutas-karalius-mufasa-the-lion-king,"Našlaitis. Prašalaitis. Karalius! Liūtas, kuris amžiams pakeitė mūsų gyvenimus. Simba, užėmęs teisėtą vietą soste kaip žvėrių valdovas, yra pasiryžęs, kad jo jauniklė dukra Kiara sektų savo senelio Mufasos pėdomis ir pristato Afrikos žvėrių valdovo liūto legendą.","Drama,Nuotykių,Animacija",N-7,multikino,"16:45, 18:00, 18:45, 21:30"
4,piktoji(wickedone),Piktoji (Wicked: Part One),https://multikino.lt/filmai/piktoji-wicked-part-one,"Po dviejų dešimtmečių vienas labiausiai pamėgtų, tiek jaunų, tiek senų žiūrovų, Brodvėjaus miuziklų atkeliauja į didįjį kino ekraną ir žada įspūdingą ir nepavaldžią laikui šventę! Dar negirdėtoje istorijoje apie Ozo raganas, pagrindinius vaidmenis atlieka „Grammy“, „Emmy“ bei „Tony“ apdovanojimų laimėtoja, anglų aktorė ir dainininkė Cynthia Erivo, vaidinanti Elphabą – jauną moterį, atstumtą dėl neįprastos žalios odos, kuri dar neatrado savo tikrosios galios – ir daugybės platininių įrašų amerikiečių popmuzikos atlikėja ir pasaulinė superžvaigždė Ariana Grande, vaidinanti Glindą – populiarią ir ambicingą jauną moterį, kuri dar neatrado savo tikrosios širdies.","Šeimai,Nuotykių,Veiksmo",N-7,multikino,20:30
5,reemigrantai2,Reemigrantai 2,https://multikino.lt/filmai/reemigrantai-2,"Jau pažįstama ketveriukė Arminas (Audrius Bružas), Dariušas (Valentinas Krulikovskis), Friodas (Marius Pocevičius), Karosas (Kirilas Glušajevas) leidžiasi į naują, pavojų ir nuotykių kupiną kelionę.","Komedija,Veiksmo",N-13,multikino,"18:30, 19:45, 21:30"
6,tyliojibrolija(order),Tylioji brolija (The Order),https://multikino.lt/filmai/tylioji-brolija-the-order,"Tikra istorija paremtas trileris apie radikalių baltųjų grupuočių veiklą JAV, kurių veiksmai sėjo paniką ir mirtį Aidaho ir Vašingtono valstijose, o tie patys planai vidaus terorizmo veiksmams siekė net 2021 metų sausio 6-osios sukilimą prie JAV Kapitolijaus. Ieškodamas ramesnio gyvenimo FTB agentas persikelia dirbti į mažą miestelį JAV vakaruose, tikėdamasis pamiršti praeities košmarus. Tačiau tik atvykęs jis pradeda pastebėti pirmuosius keistus ženklus, vedančios link itin pavojingos revoliucijos visos valstybės mastu.","Drama,Kriminalinis,Trileris",N-16,multikino,"16:30, 19:00, 21:45"
7,užgretimųdurų(roomnextdoor),Už gretimų durų (The Room Next Door),https://multikino.lt/filmai/uz-gretimu-duru-the-room-next-door,Kritikų pripažintas režisieriaus Pedro Almodóvaro naujas filmas UŽ GRETIMŲ DURŲ su Oskaro laureatėmis Tilda Swinton ir Julianne Moore.,Drama,,multikino,19:15
8,vajana2(moana2),Vajana 2 (Moana 2),https://multikino.lt/filmai/vajana-2-moana-2,"„Vajana 2“ kviečia pasinerti į naują kelionę! Vajana, sulaukusi netikėto ženklo iš savo protėvių, turi keliauti per tolimas Okeanijos jūras į itin pavojingus vandenis, kur jos laukia nuotykiai, nepanašūs į nieką, su kuo ji kada nors susidūrė.","Komedija,Nuotykių",N-7,multikino,17:00
9,reemigrantai2(reemigrantai2),ReEmigrantai 2,https://www.apollokinas.lt/event/4877/reemigrantai_2?theatreAreaID=1024&dt=23.12.2024,"Jau pažįstama ketveriukė Arminas (Audrius Bružas), Dariušas (Valentinas Krulikovskis), Friodas (Marius Pocevičius), Karosas (Kirilas Glušajevas) leidžiasi į naują, pavojų ir nuotykių kupiną kelionę. Londone miršta pusbrolių Froido ir Karoso baba Vida. Sutarta, kol Karosas ruoš šermenis, draugai į Lietuvą pargabens babos daiktus. Tačiau parengtą planą sujaukia netikėtos finansinės aplinkybės. Draugams tenka iš laidojimo namų pavogti babą ir per visą Europą sprukti į Lietuvą.  Ar pavyks bičiuliams babą Vidą pristatyti į jos laidotuves laiku? O gal įpykę smogikai iš Anglijos laidojimo namų juos sugaus ir privers už viską sumokėti? Veiksmo komedija „ReEMIGRANTAI 2“ žada tikrą vyrišką draugystę, dvigubai daugiau juoko ir trigubai daugiau veiksmo. Filmas lietuvių kalba, be subtitrų.","komedija, veiksmo, Lietuviškas kinas",N13,Apollo Kinas Vilnius Outlet,"17:20, 18:40, 19:40, 21:40"
